id,phase,area,type,plan_source,expected,observed,status,impact,priority,evidence_path,evidence_lines,followup
P1.DATA.MODEL.001,P1,DATA,model,Updated_Project_Plan_2.txt::1.1 Data models,"SQLAlchemy Blueprint with project/document FKs, status/version, primary/parent/replaced relationships, plan_nodes relationship, timestamps.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.DATA.MODEL.002,P1,DATA,model,Updated_Project_Plan_2.txt::1.1 Data models,"PlanNode with blueprint FK, parent, kind/title/summary, doc anchors and offsets, order_index, status/priority/estimate/risk, extra_metadata, linked_task_id and indexes.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.DATA.MODEL.003,P1,DATA,model,Updated_Project_Plan_2.txt::1.1 Data models,Join table linking PlanNodes to Tasks with weight to support 1-N relationships.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.DATA.MODEL.004,P1,DATA,model,Updated_Project_Plan_2.txt::1.1 Data models,TaskDependency with task_id and depends_on_task_id plus index for dependency graph.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.DATA.MODEL.005,P1,DATA,model,Updated_Project_Plan_2.txt::1.1 Data models,"Tracks ingestion progress for blueprint plan generation with status, counts, error_message, timestamps.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.DATA.MODEL.006,P1,DATA,model,Updated_Project_Plan_2.txt::1.1 Data models,Project gains active_blueprint_id FK to selected blueprint.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.001,P1,API,endpoint,Updated_Project_Plan_2.txt::1.2 Blueprint & plan endpoints,Create blueprint from document with optional base_blueprint_id and mark_active flag; versioning semantics.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.002,P1,API,endpoint,Updated_Project_Plan_2.txt::1.2 Blueprint & plan endpoints,List blueprints for project including is_primary flag.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.003,P1,API,endpoint,Updated_Project_Plan_2.txt::1.2 Blueprint & plan endpoints,"Return blueprint metadata, plan tree, and ingestion job.",Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
P1.API.ENDPOINT.004,P1,API,endpoint,Updated_Project_Plan_2.txt::1.2 Blueprint & plan endpoints,Update blueprint title/description/status and optionally mark_active.,Not found in repo; no evidence of implementation.,To-do,Blocking related phase,P1,,,Implement per updated plan
